数据库：年度数据 
时间：1949年-2025年;2025年 
糖料产量 (万吨) 	,11701.00	,11457.43	,11376.30	,11236.45	,11454.45	,12014.04	,12169.06	,11937.41	,11378.84	,11176.03	,11215.22	,12088.73	,12555.01	,12451.81	,11663.11	,11303.36	,11746.90	,13005.96	,12082.35	,10459.97	,9451.91	,9570.65	,9641.65	,10292.68	,8655.13	,7635.33	,8334.12	,9790.41	,9386.47	,8360.24	,7940.14	,7345.24	,7624.20	,8807.98	,8418.74	,7214.47	,5803.80	,6187.46	,5550.41	,5852.51	,6046.78	,4780.36	,4032.30	,4359.39	,3602.84	,2911.27	,2461.33	,2381.87	,2020.86	,1956.29	,1914.32	,1872.09	,1964.30	,1873.87	,1526.38	,1555.98	,1288.32	,1249.57	,1524.14	,1403.52	,1537.58	,1346.47	,832.09	,378.21	,506.47	,985.49	,1214.75	,1563.02	,1189.35	,1030.06	,970.62	,958.13	,771.41	,759.43	,498.89	,337.83	,283.27	,
麻类产量 (万吨) 	,	,24.73	,16.32	,22.84	,21.14	,24.94	,23.39	,20.31	,21.79	,18.13	,15.56	,16.51	,17.56	,19.62	,22.34	,24.23	,31.91	,56.09	,66.12	,89.09	,110.49	,107.36	,85.30	,96.37	,68.14	,52.95	,47.17	,49.50	,74.87	,79.50	,89.70	,74.73	,96.00	,93.83	,88.45	,109.73	,112.43	,180.92	,208.36	,192.67	,444.77	,178.80	,124.80	,123.94	,157.65	,143.60	,136.12	,135.10	,112.24	,95.34	,94.13	,84.13	,78.13	,58.34	,46.04	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
黄红麻产量 (万吨) 	,	,	,1.22	,1.46	,1.57	,1.93	,2.92	,2.86	,2.91	,3.39	,4.78	,5.06	,5.73	,6.35	,7.02	,6.48	,7.13	,8.02	,9.64	,8.68	,8.28	,8.69	,9.98	,15.90	,10.60	,12.59	,16.45	,24.80	,42.95	,36.49	,37.12	,35.49	,67.16	,61.89	,51.30	,72.61	,66.02	,107.76	,113.75	,142.00	,411.88	,149.24	,101.94	,106.04	,126.01	,109.84	,108.94	,108.78	,86.11	,73.06	,69.94	,62.98	,55.80	,37.85	,27.29	,28.07	,29.48	,31.90	,36.34	,32.77	,27.92	,23.49	,19.84	,13.22	,12.27	,20.20	,22.60	,26.75	,30.10	,25.77	,25.68	,13.66	,13.79	,30.55	,24.97	,7.88	,3.69	,
亚麻产量 (万吨) 	,	,	,	,	,	,	,	,1.30	,1.08	,1.23	,1.10	,1.02	,2.09	,3.39	,3.10	,3.78	,8.37	,25.47	,26.15	,42.51	,69.46	,66.92	,46.47	,52.43	,34.52	,21.44	,16.96	,10.02	,15.38	,26.54	,35.24	,25.03	,18.77	,22.62	,28.89	,24.16	,24.28	,36.90	,32.01	,20.83	,15.85	,19.17	,13.43	,6.08	,19.00	,18.28	,10.21	,9.82	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
大麻产量 (万吨) 	,	,	,	,	,	,	,	,10.62	,12.47	,7.16	,2.60	,3.14	,1.80	,1.40	,1.34	,1.00	,1.15	,2.97	,4.69	,8.29	,4.13	,3.59	,2.63	,3.01	,2.02	,1.70	,1.32	,1.69	,1.92	,2.06	,2.24	,2.20	,2.73	,2.44	,1.80	,3.15	,2.63	,3.57	,4.43	,5.50	,5.49	,3.31	,2.89	,3.64	,4.97	,7.56	,9.00	,8.86	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
苎麻产量 (万吨) 	,	,	,	,	,	,	,	,5.39	,5.08	,5.22	,5.83	,6.30	,6.77	,7.67	,9.71	,12.21	,14.65	,18.84	,24.01	,28.74	,27.71	,25.48	,24.49	,23.85	,19.70	,16.10	,11.95	,12.23	,13.66	,14.06	,14.71	,11.64	,6.76	,6.12	,5.82	,8.91	,18.45	,31.81	,56.75	,22.65	,8.17	,5.00	,4.44	,5.87	,4.91	,3.76	,3.47	,2.61	,2.40	,2.45	,2.86	,2.42	,2.66	,2.73	,3.04	,2.89	,0.00	,0.00	,0.00	,2.62	,2.97	,2.26	,1.97	,1.46	,1.74	,3.48	,4.84	,6.02	,5.26	,4.96	,4.90	,4.48	,4.66	,4.04	,	,	,	,
甘蔗产量 (万吨) 	,	,10209.44	,10456.55	,10338.13	,10666.38	,10812.10	,10938.81	,10809.71	,10440.43	,10321.54	,10706.43	,11578.82	,11926.35	,11574.61	,10867.35	,10598.23	,11200.37	,12152.06	,11179.44	,9709.22	,8663.80	,8984.94	,9023.48	,9010.69	,7566.27	,6827.98	,7470.27	,8343.81	,7889.68	,6818.70	,6541.74	,6092.68	,6419.38	,7301.07	,6789.80	,5762.01	,4879.47	,4906.43	,4736.35	,5021.91	,5154.91	,3951.93	,3114.14	,3688.24	,2966.81	,2280.74	,2150.75	,2111.64	,1775.23	,1663.07	,1666.68	,1643.24	,1696.45	,1641.63	,1313.87	,1345.70	,1049.68	,1034.10	,1264.03	,1140.82	,1339.15	,1216.08	,780.14	,344.33	,426.81	,825.84	,897.93	,1255.27	,1039.24	,865.46	,811.01	,859.24	,720.90	,711.58	,462.89	,313.34	,264.21	,
甜菜产量 (万吨) 	,	,1241.12	,916.02	,893.32	,785.09	,1198.40	,1227.29	,1127.66	,938.41	,854.49	,508.79	,509.91	,628.66	,877.20	,795.76	,705.12	,546.53	,853.90	,902.91	,750.75	,788.11	,585.71	,618.17	,1281.99	,1088.86	,807.35	,863.86	,1446.61	,1496.79	,1541.55	,1398.40	,1252.56	,1204.82	,1506.91	,1628.94	,1452.45	,924.33	,1281.04	,814.02	,830.60	,891.86	,828.42	,918.16	,671.15	,636.03	,630.53	,310.58	,270.23	,245.62	,293.22	,247.63	,228.85	,267.85	,232.24	,212.51	,210.28	,238.63	,215.47	,260.11	,262.69	,198.44	,130.38	,51.94	,33.88	,79.66	,159.65	,316.82	,307.75	,150.10	,164.60	,159.61	,98.90	,50.52	,47.86	,36.00	,24.49	,19.06	,
烟叶产量 (万吨) 	,	,225.64	,229.67	,218.81	,212.76	,213.40	,215.34	,224.10	,239.14	,257.39	,267.73	,284.67	,321.95	,324.60	,299.78	,283.20	,296.20	,275.94	,242.22	,245.56	,268.30	,240.60	,225.74	,244.65	,234.96	,255.23	,246.93	,236.40	,425.12	,323.40	,231.42	,223.80	,345.15	,349.86	,303.12	,262.71	,283.04	,273.37	,194.25	,170.71	,242.48	,178.94	,138.06	,217.93	,149.73	,84.48	,94.15	,124.19	,113.88	,97.78	,84.00	,71.58	,73.21	,62.95	,54.21	,49.48	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,0.00	,
烤烟产量 (万吨) 	,	,215.03	,219.12	,207.99	,202.07	,202.16	,202.11	,210.97	,227.87	,244.50	,249.52	,269.68	,304.02	,302.31	,278.58	,261.19	,275.05	,258.20	,224.94	,225.50	,243.50	,216.27	,201.48	,213.52	,204.52	,223.80	,218.51	,208.85	,390.79	,294.57	,207.22	,194.05	,303.60	,311.89	,267.03	,225.89	,240.48	,233.74	,163.61	,137.44	,207.50	,154.28	,115.08	,184.78	,127.87	,71.67	,80.61	,105.23	,97.12	,83.74	,70.08	,58.84	,61.27	,52.33	,45.76	,39.87	,44.55	,44.06	,56.70	,57.62	,37.21	,32.35	,23.42	,12.88	,9.57	,18.61	,33.05	,38.66	,25.62	,39.92	,29.81	,23.22	,21.28	,22.21	,24.22	,5.65	,4.29	,
蔬菜产量 (万吨) 	,	,86113.98	,82868.11	,79997.22	,77548.78	,74912.90	,72102.60	,70346.72	,69192.68	,67434.16	,66425.10	,64948.65	,63197.98	,61624.46	,59766.63	,57264.86	,59139.48	,58669.21	,57537.82	,53953.05	,56451.49	,55064.66	,54032.32	,52860.56	,48422.36	,44467.94	,40513.52	,38491.93	,35962.39	,30123.09	,25726.71	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
注：1. 根据第三次全国农业普查结果,对2007年-2017年农业生产有关数据进行了修正。
数据来源：国家统计局
