数据库：年度数据 
时间：1949年-2025年;2025年 
冬小麦产量 (万吨) 	,	,	,	,13243.31	,13176.34	,12887.61	,12773.16	,12500.52	,12794.09	,12660.84	,12624.80	,12230.99	,11763.68	,11629.10	,11230.45	,10975.76	,10843.27	,10707.89	,10401.92	,10225.84	,9141.20	,8620.96	,8220.27	,8442.99	,9387.34	,9220.51	,10262.70	,9779.57	,11083.45	,9794.71	,9168.90	,8916.02	,9374.60	,8840.20	,8368.00	,8522.40	,8037.90	,7633.20	,7887.30	,8036.10	,7583.30	,7753.00	,7098.50	,6022.00	,5192.00	,4649.00	,5493.50	,4687.50	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
春小麦产量 (万吨) 	,	,	,	,529.02	,518.11	,537.77	,586.47	,643.53	,630.04	,657.99	,630.71	,592.54	,600.25	,618.39	,626.50	,633.58	,736.34	,582.24	,547.23	,620.75	,603.31	,574.22	,428.58	,586.01	,	,743.07	,1125.26	,1193.04	,1245.40	,1262.20	,1051.90	,1013.68	,1264.40	,1318.50	,1227.30	,1300.60	,1042.80	,910.00	,889.50	,967.90	,997.20	,1028.50	,1040.50	,825.00	,772.00	,871.50	,779.50	,696.50	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
玉米产量 (万吨) 	,30124.00	,29491.69	,28884.23	,27720.30	,27255.06	,26066.52	,26077.89	,25717.39	,25907.07	,26361.31	,26499.22	,24976.44	,24845.32	,22955.90	,21131.60	,19075.18	,17325.86	,17211.95	,15512.25	,15160.30	,13936.54	,13028.71	,11583.02	,12130.76	,11408.77	,10599.98	,12808.63	,13295.40	,10430.87	,12747.10	,11198.60	,9927.50	,10270.40	,9538.30	,9877.30	,9681.90	,7892.80	,7735.10	,7982.20	,7085.60	,6382.60	,7341.00	,6820.50	,6056.00	,5920.50	,6260.00	,6003.50	,5594.50	,4938.50	,4816.00	,4721.50	,4291.50	,3862.50	,3210.00	,3585.00	,3303.00	,2492.10	,2503.20	,2740.80	,2842.60	,2365.50	,2269.70	,2057.90	,1626.70	,1549.50	,1603.10	,1664.60	,2313.10	,2144.00	,2307.40	,2032.00	,1714.70	,1668.80	,1685.00	,1381.00	,1389.40	,1242.00	,
谷子产量 (万吨) 	,	,	,	,261.81	,288.64	,280.65	,254.00	,234.18	,254.79	,233.02	,211.95	,197.24	,177.64	,177.47	,173.73	,161.88	,125.55	,124.73	,152.13	,163.94	,178.35	,181.26	,194.07	,217.56	,196.69	,212.52	,231.78	,312.02	,231.20	,357.30	,301.90	,369.60	,399.90	,331.70	,342.40	,457.50	,375.30	,441.20	,453.80	,454.00	,597.70	,702.50	,754.00	,658.00	,576.50	,544.50	,612.50	,656.00	,613.50	,556.00	,715.50	,702.50	,815.00	,594.50	,767.50	,973.50	,916.90	,834.00	,922.40	,870.50	,620.50	,683.30	,601.50	,531.40	,522.90	,473.10	,722.60	,811.90	,856.00	,846.50	,1003.60	,860.10	,957.70	,1153.00	,873.00	,870.70	,779.80	,
高粱产量 (万吨) 	,	,	,	,309.39	,337.72	,296.99	,313.70	,290.94	,246.49	,223.45	,220.25	,249.98	,242.95	,198.96	,189.16	,193.31	,150.34	,174.88	,174.91	,218.19	,254.64	,232.72	,286.19	,332.69	,269.66	,258.24	,324.14	,408.57	,363.82	,567.49	,475.60	,633.30	,551.10	,467.10	,494.30	,567.60	,443.50	,559.40	,542.80	,538.40	,560.90	,771.50	,835.50	,698.50	,665.00	,677.50	,762.50	,807.00	,768.00	,871.00	,1077.00	,1137.50	,1067.00	,803.00	,881.00	,879.50	,683.90	,796.00	,790.00	,743.50	,711.50	,668.50	,686.70	,608.00	,576.80	,343.80	,537.20	,479.80	,764.50	,652.10	,1025.90	,851.50	,1061.90	,1109.50	,820.70	,847.00	,675.10	,
其他谷物产量 (万吨) 	,	,	,	,	,	,	,	,404.11	,420.47	,420.49	,417.28	,393.44	,391.95	,425.97	,422.03	,434.48	,442.32	,506.54	,536.41	,538.39	,603.13	,610.58	,650.99	,634.81	,627.72	,697.27	,702.82	,764.76	,921.07	,888.20	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
大麦产量 (万吨) 	,	,	,	,	,	,	,	,95.65	,108.52	,119.24	,141.14	,146.14	,153.52	,168.46	,190.37	,195.17	,221.03	,260.77	,278.04	,312.96	,344.41	,322.18	,324.95	,332.20	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
豆类产量 (万吨) 	,	,2362.79	,2384.10	,2351.03	,1965.52	,2287.46	,2131.90	,1920.27	,1841.56	,1650.66	,1512.52	,1564.52	,1542.40	,1680.64	,1863.30	,1871.84	,1904.59	,2021.86	,1709.13	,2003.72	,2157.67	,2232.07	,2127.51	,2241.22	,2052.81	,2010.00	,1893.96	,2000.60	,1875.50	,1790.30	,1787.50	,2095.60	,1950.40	,1252.00	,1247.10	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
绿豆产量 (万吨) 	,	,	,	,38.93	,44.38	,50.77	,57.35	,68.11	,65.06	,56.49	,52.38	,49.81	,55.04	,66.57	,75.32	,74.67	,71.55	,83.64	,78.54	,70.99	,100.54	,79.13	,118.45	,119.00	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
红小豆产量 (万吨) 	,	,	,	,24.70	,23.23	,20.85	,24.01	,27.79	,36.00	,27.54	,17.57	,19.03	,18.51	,19.30	,24.81	,21.97	,22.98	,28.08	,27.59	,36.46	,35.33	,30.03	,33.60	,38.36	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,	,
